fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
Los Chacos; [Santa Cruz] - Bolívia; Pop.: 856;
Los Negros; [Santa Cruz] - Bolívia; Pop.: 4.126;
Mairana; [Santa Cruz] - Bolívia; Pop.: 5.046;
Mapaiso de las Piedades; [Santa Cruz] - Bolívia; Pop.: 2.593;
Mataral; [Santa Cruz] - Bolívia; Pop.: 1.044;
Mineros; [Santa Cruz] - Bolívia; Pop.: 15.838;
Montero; [Santa Cruz] - Bolívia; Pop.: 112.454;
Montero Hoyos; [Santa Cruz] - Bolívia; Pop.: 2.380;
Mora; [Santa Cruz] - Bolívia; Pop.: 2.090;
Moro Moro; [Santa Cruz] - Bolívia; Pop.: 867;
Naranjal Don Bosco; [Santa Cruz] - Bolívia; Pop.: 1.085;
Nucleo 29 Illimani; [Santa Cruz] - Bolívia; Pop.: 784;
Nueva Esperanza; [Santa Cruz] - Bolívia; Pop.: 800;
Nuevo Amanecer; [Santa Cruz] - Bolívia; Pop.: 1.272;
Nuevo Horizonte; [Santa Cruz] - Bolívia; Pop.: 2.223;
Nuevo Horizonte de Yapacaní; [Santa Cruz] - Bolívia; Pop.: 1.001;
Okinawa (Okinawa Número Uno, Okinawa Uno); [Santa Cruz] - Bolívia; Pop.: 7.089;
Paichenetu; [Santa Cruz] - Bolívia; Pop.: 1.617;
Pailón; [Santa Cruz] - Bolívia; Pop.: 15.625;
Palmar Víruez; [Santa Cruz] - Bolívia; Pop.: 1.039;
Palmarito; [Santa Cruz] - Bolívia; Pop.: 948;
Palmasola; [Santa Cruz] - Bolívia; Pop.: 735;
Pampa Grande; [Santa Cruz] - Bolívia; Pop.: 1.206;
Paradero; [Santa Cruz] - Bolívia; Pop.: 3.025;
Paurito; [Santa Cruz] - Bolívia; Pop.: 2.437;
Pedro Lorenzo; [Santa Cruz] - Bolívia; Pop.: 1.779;
Peji; [Santa Cruz] - Bolívia; Pop.: 861;
Pico de Monte; [Santa Cruz] - Bolívia; Pop.: 2.163;
Porongo; [Santa Cruz] - Bolívia; Pop.: 1.865;
Portachuelo; [Santa Cruz] - Bolívia; Pop.: 13.688;
Porvenir; [Santa Cruz] - Bolívia; Pop.: 811;
Postrer Valle; [Santa Cruz] - Bolívia; Pop.: 1.733;
Poza Caimanes; [Santa Cruz] - Bolívia; Pop.: 963;
Pozo Colorado; [Santa Cruz] - Bolívia; Pop.: 874;
